Timestamp,1. What age range do you fall in?,Sex,How would you describe your level of physical health?,What level of education have you reached?,What is your household income?,Which category best describes your employment?,What Toronto district is your primary address located in?,"On average, what distance do you travel most days of the week?","On average, how long is your commute? (each way)",Which transportation option do you end up using most often?,Does your household have access to any of the following types of private motorized vehicles?,Do you support any of the following statements?,When you use Toronto's Multi-Use Trails do you mostly,Are you aware that the City of Toronto's Multi-Use Paths have a speed limit of 20 km/h?,Have you witnessed a collision or conflict on a trail between,Do you think more should be done to manage trail users who do not respect the 20 km/h speed limit?,"Currently, any kind of e-bike may use a multi-use path if they are propelled by pedaling only.  If any e-biker or other type of vehicle is being propelled by motor power, then it is considered a motor vehicle, and may be fined.",When you use Toronto's bicycle lanes do you mostly,"Currently, any kind of e-bike may use a bicycle lane, provided they are propelled by pedalling only.  If any e-bike is being propelled by motor power, then it is considered a motor vehicle and may be fined. ","Sidewalks are for pedestrians.  Cyclists and e-bikers should not ride or drive on sidewalks.  With regards to illegal use of bicycles and e-bikes on sidewalks, should the City.","Toronto Bylaws consider personal mobility devices (such as electric wheel chairs) to be pedestrians.  Historically, there has been little risk as electric wheelchairs available for purchase have only traveled at speeds which are close to walking speed.  More recently, personal mobility devices which resemble e-bikes and may travel at more than triple walking speed have become available.  In your opinion, should the City;"
5/7/13 12:40,35 to 49,Male,Excellent,Post graduate,$100K+,Full Time,"Central Toronto, York or East York",20 -35 km,over 1 hour each way,bicycle,"Yes - a car, SUV, truck or van","Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license","skate, cycle",Yes,"pedestrians and/or runners, a conflict relating to a dog(s), a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between two cyclists, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist, a conflict between two e-bikers",Yes - more enforcement (ticketing),No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",No changes are necessary to the existing bylaw,increase enforcement,Don't Know / Rather Not Answer
5/7/13 12:51,35 to 49,Male,Good,University degree,$100K+,Self Employed,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,bicycle,"Yes - a car, SUV, truck or van","On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",cycle,No,I am not aware of any conflicts on the trails,No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",increase enforcement,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 13:40,18 to 34,Male,Good,College or trade school diploma,Under $20K,Part Time,Mississauga,5 - 10 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license",cycle,Yes,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more enforcement (ticketing), Warnings before ticketing",No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) ","maintain the existing programs for signage, education and enforcement, increase enforcement",Institute a speed limit for sidewalks
5/7/13 14:11,18 to 34,,Very good,University degree,$20K to $39K,Student,Etobicoke,20 -35 km,45 minutes - 1 hour,bicycle,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,No,I am not aware of any conflicts on the trails,Yes - more educational programs ,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",increase education,Institute a speed limit for sidewalks
5/7/13 14:55,35 to 49,Male,Excellent,Post graduate,$80K to $99K,Full Time,"Central Toronto, York or East York",10 - 20 km,30 - 44 minutes,bicycle,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, E-bikes are a green transportation option which should be encouraged","skate, cycle",Yes,a conflict between two cyclists,Yes - more educational programs ,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) , Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",increase education,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 15:55,50 to 64 ,Male,Fairly good,Post graduate,$60K to $79K,Unemployed,"Central Toronto, York or East York",5 - 10 km,I do not commute,walking,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance",walk,Yes,"a conflict relating to a dog(s), a conflict between cyclists and pedestrians","Yes - more enforcement (ticketing), Yes - more educational programs ",No changes are necessary to the existing bylaw,I do not use bicycle lanes,No changes are necessary to the existing bylaw,"increase signage, increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 16:13,35 to 49,Female,Poor,University degree,,Retired,Guelph,5 - 10 km,I do not commute,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van, Yes - a ""pedal assist"" type e-bike","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",I very rarely use any of Toronto's Multi-Use Paths,No,a conflict relating to a dog(s),"Yes - more signage, How is a cyclist supposed to know how if they are exceeding 20km per hour?","The bylaw should be modified to allow any kind of e-bike, including scooter type e-bikes use the trail",I do not use bicycle lanes,"The bylaw should be modified to allow e-bikes to drive in bicycle lanes, using their motors and not pedalling, without any restrictions set in place by the City. (eg. width, weight, speed)","maintain the existing programs for signage, education and enforcement",Do nothing
5/7/13 17:00,35 to 49,Male,Excellent,Post graduate,$80K to $99K,Home Maker,"Central Toronto, York or East York",5 - 10 km,I do not commute,walking,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license","walk, walk with a stroller, young child, or pet, run, cycle",Yes,"a conflict between cyclists and pedestrians, a conflict between e-biker and a cyclist",Yes - more signage,No changes are necessary to the existing bylaw,"ride a mountain, downhill, or BMX bicycle",No changes are necessary to the existing bylaw,"increase signage, increase enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 17:30,35 to 49,Male,Very good,College or trade school diploma,$100K+,Full Time,"Central Toronto, York or East York",10 - 20 km,30 - 44 minutes,transit,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance","walk, cycle",No,"a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist","Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ",No changes are necessary to the existing bylaw,"ride a commuter, or cruiser style bicycle",No changes are necessary to the existing bylaw,"increase signage, increase enforcement, increase education",Do nothing
5/7/13 19:54,50 to 64 ,Female,Very good,University degree,,Part Time,Etobicoke,10 - 20 km,45 minutes - 1 hour,bicycle,"Yes - a car, SUV, truck or van","E-bikes should require a license, E-bikes should be required to have insurance",cycle,Yes,"pedestrians and/or runners, a conflict relating to a dog(s), a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between two cyclists","Yes - more signage, Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 21:02,17 or younger,Male,Very good,High school Student,$80K to $99K,Student,Etobicoke,10 - 20 km,30 - 44 minutes,bicycle,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","walk, cycle",Yes,"a conflict relating to a dog(s), a conflict between e-biker and a cyclist","Yes - more enforcement (ticketing), Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",increase education,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 21:33,18 to 34,Male,Very good,University degree,$20K to $39K,Full Time,"Central Toronto, York or East York",Over 35 km,45 minutes - 1 hour,bicycle,"Yes - a car, SUV, truck or van, Yes - a scooter style e-bike","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes weigh more than an average bicycle, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be allowed to carry a passenger",cycle,Yes,"a conflict relating to a dog(s), a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between e-biker and a cyclist",No - the trails are fine as they are,"The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes , Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) ","increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 22:28,50 to 64 ,Female,Excellent,University degree,$100K+,Self Employed,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,walking,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","walk, walk with a stroller, young child, or pet, run, cycle",No,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 22:29,50 to 64 ,Female,Very good,University degree,$80K to $99K,Retired,"Central Toronto, York or East York",Under 2 km,16 - 29 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van, No - I do not have access to a private motorized vehicle","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",I very rarely use any of Toronto's Multi-Use Paths,No,a conflict between cyclists and pedestrians,Yes - more enforcement (ticketing),"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 22:41,35 to 49,Male,Good,Post graduate,$60K to $79K,Full Time,"Central Toronto, York or East York",10 - 20 km,30 - 44 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance, E-bikes should be allowed to carry a passenger",walk,No,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ",The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a mountain, downhill, or BMX bicycle",No changes are necessary to the existing bylaw,"increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 22:52,35 to 49,Male,Good,University degree,$60K to $79K,Full Time,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,bicycle,No - I do not have access to a private motorized vehicle,"scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness",cycle,No,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more educational programs ",No changes are necessary to the existing bylaw,"ride a commuter, or cruiser style bicycle",No changes are necessary to the existing bylaw,"increase signage, increase enforcement, increase education",Institute a speed limit for sidewalks
5/7/13 23:09,35 to 49,Female,Very good,University degree,$80K to $99K,Self Employed,"Central Toronto, York or East York",Under 2 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance",cycle,Yes,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow e-bikes to use bicycle lanes in suburban areas, but not in busy downtown bicycle lanes, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/7/13 23:12,35 to 49,Male,Good,University degree,$80K to $99K,Self Employed,"Central Toronto, York or East York",Under 2 km,I do not commute,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance, E-bikes should be allowed to carry a passenger",cycle,Yes,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ","No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle",No changes are necessary to the existing bylaw,"maintain the existing programs for signage, education and enforcement, increase signage, increase education",Don't Know / Rather Not Answer
5/8/13 7:58,35 to 49,Female,Good,Post graduate,$100K+,Full Time,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,transit,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness",cycle,No,a conflict between cyclists and pedestrians,"Yes - more signage, Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase education, communicate clearly whether or not children are allowed to cycle on sidewalks.  I consider this an essential right given how dangerous are roads currently are for cyclists.",Do nothing
5/8/13 8:02,50 to 64 ,Male,Excellent,Post graduate,$100K+,Self Employed,"Central Toronto, York or East York",5 - 10 km,I do not commute,walking,car sharing,"Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness",cycle,Yes,"a conflict relating to a dog(s), a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between two cyclists, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist",No - the trails are fine as they are,No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",refocus attention on space & priority given to cars,address space & priority given to cars,provide more & clearer space for those not in cars
5/8/13 8:35,35 to 49,Female,Good,University degree,$100K+,Full Time,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance, E-bikes should be allowed to carry a passenger",cycle,Yes,I am not aware of any conflicts on the trails,No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",i notice there is no choice here to decrease enforcement. I am tired of cyclists being targeted by police when  car drivers are still texting at alarming rates,we have enough rules already in Toronto that people don't follow
5/8/13 9:05,35 to 49,Female,Very good,Post graduate,$40K to $59K,Part Time,"Central Toronto, York or East York",5 - 10 km,45 minutes - 1 hour,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, E-bikes are a green transportation option which should be encouraged, E-bikes should be allowed to carry a passenger",walk,Yes,"a conflict relating to a dog(s), a conflict between cyclists and pedestrians","Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ",The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) ","increase signage, increase education, increase bike lanes, educate motorists about the rights of cyclists",Require bells
5/8/13 9:21,35 to 49,Male,Good,University degree,$100K+,Full Time,"Central Toronto, York or East York",5 - 10 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license","walk, walk with a stroller, young child, or pet",No,I am not aware of any conflicts on the trails,Yes - more enforcement (ticketing),No changes are necessary to the existing bylaw,"ride a mountain, downhill, or BMX bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost",increase enforcement,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/8/13 9:22,35 to 49,Female,Good,Post graduate,$40K to $59K,Part Time,"Central Toronto, York or East York",Under 2 km,I do not commute,bicycle,No - I do not have access to a private motorized vehicle,"scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",walk,No,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ",No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",No changes are necessary to the existing bylaw,"increase signage, increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/8/13 9:34,35 to 49,Female,Very good,University degree,$100K+,Self Employed,"Central Toronto, York or East York",5 - 10 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness",cycle,No,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more educational programs ","No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/8/13 9:34,35 to 49,Female,Very good,University degree,$20K to $39K,Self Employed,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,bicycle,No - I do not have access to a private motorized vehicle,"Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness","walk with a stroller, young child, or pet",No,a conflict between an e-biker and a pedestrian,No - the trails are fine as they are,No changes are necessary to the existing bylaw,"ride a commuter, or cruiser style bicycle",No changes are necessary to the existing bylaw,"maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
5/8/13 9:40,35 to 49,Female,Very good,University degree,$60K to $79K,Full Time,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should be allowed to carry a passenger",cycle,Yes,a conflict relating to a dog(s),No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",I agree that sidewalks are for pedestrians but the downtown roads are unsafe for kids and so they ride on the sidewalk. we need more bike lanes.,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
